"Time","Q"
2015-01-01,136.7321345
2015-01-02,158.7323552
2015-01-03,160.5705275
2015-01-04,154.5014875
2015-01-05,165.0579053
2015-01-06,169.7478525
2015-01-07,168.0122887
2015-01-08,169.259513
2015-01-09,174.3095934
2015-01-10,173.5984534
2015-01-11,163.9602909
2015-01-12,170.9824193
2015-01-13,172.5938853
2015-01-14,174.4110758
2015-01-15,174.5900383
2015-01-16,169.9280539
2015-01-17,171.5376381
2015-01-18,158.4025693
2015-01-19,174.3347706
2015-01-20,176.2545505
2015-01-21,176.8492504
2015-01-22,180.9268982
2015-01-23,179.3049574
2015-01-24,179.3701336
2015-01-25,169.3385711
2015-01-26,172.0344837
2015-01-27,177.108934
2015-01-28,179.3792826
2015-01-29,180.6459978
2015-01-30,178.2456049
2015-01-31,172.6138298
2015-02-01,161.8260577
2015-02-02,166.9033628
2015-02-03,179.2127946
2015-02-04,176.0850918
2015-02-05,182.0768597
2015-02-06,182.67742
2015-02-07,178.5499013
2015-02-08,150.9908119
2015-02-09,175.9989096
2015-02-10,183.563255
2015-02-11,181.0029924
2015-02-12,180.1984351
2015-02-13,179.776568
2015-02-14,172.7500248
2015-02-15,169.3148831
2015-02-16,173.3903469
2015-02-17,181.3125959
2015-02-18,178.0300712
2015-02-19,182.1999851
2015-02-20,179.5149873
2015-02-21,177.3344321
2015-02-22,175.7128182
2015-02-23,175.6330987
2015-02-24,176.830176
2015-02-25,180.6004868
2015-02-26,178.323816
2015-02-27,183.6197508
2015-02-28,176.13689
2015-03-01,170.3012647
2015-03-02,172.8395715
2015-03-03,182.8031769
2015-03-04,181.6449997
2015-03-05,182.3828786
2015-03-06,181.8174693
2015-03-07,181.6261663
2015-03-08,169.3983966
2015-03-09,174.8841702
2015-03-10,178.9663571
2015-03-11,183.3312445
2015-03-12,182.2983351
2015-03-13,181.7394694
2015-03-14,179.9675163
2015-03-15,174.246499
2015-03-16,176.5718289
2015-03-17,183.8972375
2015-03-18,189.2762694
2015-03-19,185.5145642
2015-03-20,184.1959447
2015-03-21,185.7111472
2015-03-22,177.6084548
2015-03-23,179.984313
2015-03-24,185.2158837
2015-03-25,179.8766007
2015-03-26,186.0918675
2015-03-27,188.8868299
2015-03-28,185.7173623
2015-03-29,167.3016685
2015-03-30,177.6254894
2015-03-31,180.0701949
2015-04-01,182.2542363
2015-04-02,170.6851291
2015-04-03,159.9188805
2015-04-04,168.5040332
2015-04-05,165.7529026
2015-04-06,177.3542236
2015-04-07,185.696462
2015-04-08,181.2086377
2015-04-09,183.2569986
2015-04-10,184.4112874
2015-04-11,180.7732899
2015-04-12,173.3477788
2015-04-13,174.5542581
2015-04-14,181.1715334
2015-04-15,181.9178008
2015-04-16,183.8736388
2015-04-17,182.4282633
2015-04-18,175.4484201
2015-04-19,168.5506817
2015-04-20,172.8527643
2015-04-21,177.556369
2015-04-22,181.6289965
2015-04-23,178.842499
2015-04-24,175.8029406
2015-04-25,170.6592912
2015-04-26,162.9339982
2015-04-27,168.7218103
2015-04-28,170.3141205
2015-04-29,174.6448784
2015-04-30,172.799133
2015-05-01,165.2830665
2015-05-02,162.6799844
2015-05-03,162.2246138
2015-05-04,167.8118875
2015-05-05,170.0458529
2015-05-06,168.3046387
2015-05-07,168.2707549
2015-05-08,170.4507274
2015-05-09,171.4400244
2015-05-10,156.7638604
2015-05-11,169.0899141
2015-05-12,175.3117622
2015-05-13,175.7286405
2015-05-14,179.1590257
